0 0
0 0
0 0
0 0
0 1
1 1
1 1
1 1
1 2
2 2
2 2
3 2
3 3
3 3
4 3
4 4
4 5
4 1
5 1
6 1
0 1
1 1
2 1
2 1
2 2
1 2
1 3
2 3
2 4
4 4
4 2
4 3
5 3
6 3
7 3
8 3
7 3
8 3
8 1
8 7
8 8
8 0
8 8
0 8
1 8
1 9
1 10
1 11
12 11
12 12
13 12
12 12
13 12
13 12
13 13
14 13
14 14
0 14
1 14
15 14
15 14
15 15
15 15
16 15
16 15
16 16
16 17
16 18
17 18
17 16
17 16
17 17
17 18
16 18
17 18
18 18
4 18
4 2
4 3
5 3
2 3
0 3
1 3
4 3
1 3
2 3
0 3
1 3
1 4
1 1
1 2
2 2
2 3
3 3
4 3
4 4
4 3
3 3
3 3
4 3
1 3
2 3
5 3
5 4
3 4
1 4
1 3
1 4
1 5
6 5
6 6
7 6
7 1
8 1
1 1
1 1
2 1
2 2
2 1
2 2
3 2
3 3
3 4
3 1
3 4
4 4
5 4
5 5
5 7
6 7
6 8
9 8
9 7
7 7
8 7
9 7
9 9
10 9
10 9
10 9
10 10
10 10
10 10
0 10
1 10
1 11
2 11
1 11
10 11
10 11
10 12
10 13
10 14
14 14
14 14
0 14
0 15
0 16
0 16
0 17
0 17
0 0
0 1
1 1
1 2
1 1
1 0
2 0
2 0
2 0
0 0
0 0
1 0
1 1
1 2
2 2
1 2
1 1
1 2
1 3
1 4
1 5
1 6
5 6
5 5
5 5
0 5
0 5
5 5
0 5
1 5
2 5
2 7
3 7
3 8
7 8
7 6
7 7
7 8
7 1
7 2
8 2
8 10
8 10
8 8
0 8
0 8
8 8
9 8
9 8
10 8
10 8
10 8
10 8
10 9
10 10
10 8
10 9
11 9
11 12
11 13
12 13
12 3
14 3
15 3
12 3
12 4
16 4
16 5
16 6
16 4
16 5
4 5
5 5
5 5
5 6
5 6
5 7
7 7
7 8
7 8
7 8
1 8
8 8
8 8
0 8
0 8
0 9
1 9
2 9
2 0
2 2
3 2
3 3
3 0
4 0
4 0
4 0
4 4
4 4
4 0
5 0
5 0
5 5
6 5
6 5
7 5
8 5
8 8
0 8
0 8
1 8
1 9
1 10
0 10
0 10
10 10
10 11
1 11
1 11
10 11
10 12
10 12
10 13
11 13
11 14
12 14
13 14
14 14
15 14
10 14
11 14
11 15
11 15
4 15
5 15
5 16
5 17
6 17
7 17
7 16
19 16
16 16
16 16
16 16
16 16
16 16
0 16
1 16
1 17
1 18
1 19
1 19
18 19
18 18
18 18
19 18
18 18
18 18
18 18
18 18
18 18
18 18
18 0
0 0
0 0
1 0
1 1
0 1
0 1
0 1
0 0
0 1
0 1
1 1
1 2
2 2
2 3
3 3
